ID	author	claim	label
4322	Jim Moran	"""American oil production is at its highest level since 2003."""	true
4323	The Tax Foundation	"""We Really Do Have the Highest Corporate Tax Rate in the World."""	mostly-true
4324	Rick Perry	"Says Texas high school ""graduation rates are at an all-time high—the third-highest in the nation—which represents a significant turnaround from just a few short years ago."""	mostly-true
4325	Ashley Judd	"""Pads and tampons (are) still taxed when Viagra and Rogaine are not."""	half-true
4326	Facebook posts	"""THOUSANDS of fake votes found at Wisconsin Recount in Dane County."""	pants-fire
4327	Jim Sensenbrenner	"""We have the highest corporate tax rate in the world. It’s 35 percent."""	true
4328	Florida Conference of Catholic Bishops	"""Unlawful presence (in the United States) is not a crime."""	mostly-true
4329	Ronna McDaniel	"The census ""for years and years and years, decades, has asked, ‘Are you a citizen of the United States of America?’"""	mostly-true
4330	Donald Trump	"""We’re the most highly taxed nation in the world."""	false
4331	Mandy Cohen	There’s a “direct correlation” between North Carolina’s mask requirement and COVID-19 stabilization.	mostly-true
4332	Mike Pence	“The reality is when you look at the Biden plan, it reads an awful lot like what President Trump and I and our task force have been doing every step of the way.”	pants-fire
4333	Darren Jackson	"""Expanding Medicaid would bring 40,000 jobs to North Carolina."""	mostly-true
4334	Peter Feigin	Says people are moving to Milwaukee “in record numbers”	barely-true
4335	Republican Party of Virginia	"Gov. McAuliffe's budget would ""raid school, other $$ 4 Obamacare in VA."""	barely-true
4336	House Republicans	“President Biden says he wants to ban handguns.”	false
4337	Mark Pryor	"Says Tom Cotton’s vote in Congress to change Medicare ""will increase out-of-pocket expenses for every senior in Arkansas."""	barely-true
4338	David Dewhurst	"Wendy Davis ""was just doing a fund-raiser in Chicago with the international socialists organization."""	pants-fire
4339	Bloggers	"Says ""Cost of Mueller’s investigation: $3,200,000; Benghazi ""investigation"": $7,000,000; Trump’s golfing trips: $83,000,000; New debt from Republican tax bill: $1,500,000,000,000."""	half-true
4340	Mike Pence	Says Joe Biden and Kamala Harris support abortion “up to the moment of birth.”	false
4341	Tim Kaine	"""John McCain’s chief economic adviser during the ’08 race … estimated that Trump’s promises would cause America to lose 3.5 million jobs."""	half-true
4342	Nick Fish	"Says ""cities save an estimated $38 in dental costs for every $1 invested in fluoridation."""	mostly-true
4343	Facebook posts	Michigan governor reopened Traverse City “so she could have her daughter's open house.”	false
4344	Joe Biden	"""The fastest-growing population in the United States is Hispanic."""	barely-true
4345	Ted Cruz	"""Today roughly half of born-again Christians aren’t voting. They’re staying home."""	barely-true
4346	Facebook posts	A map shows “all the cargo ships backed up by the Suez Canal. Get ready for shortages and prices to skyrocket.”	false
4347	Margaret Hoover	"Regarding the surgery that saved Jimmy Kimmel's son, ""Medicaid has stopped providing this kind of service."""	false
4348	New Jersey Democratic State Committee	"Gov. Chris Christie owes the state money ""for amenities like extra Gorgonzola cheese for his staff on these trips."""	false
4349	Pete Gallego	"""Just two weeks ago, Congressman Hurd quit his post on the House Committee on Small Business saying that he was unable to find the time to serve."""	half-true
4350	Hillary Clinton	"""I did very well with young people in Ohio, Massachusetts, California."""	half-true
4351	Ted Cruz	"""There have been multiple media reports about (Donald Trump's) business dealings with the mob, with the mafia."""	true
4352	John Nygren	"Says Gov. Tony Evers ""proposed raising taxes on the agriculture industry to pay for expanded welfare programs."""	barely-true
4353	Chris Christie	"Says ""New Jersey's unemployment is significantly lower than it was when I got here. And we've created 50,000 new private sector jobs in the last 20 months after having lost 117,000 in the year before I got here."""	half-true
4354	Mark Warner	The U.S. loses more on tax breaks than it collects in personal income taxes.	true
4355	Leonard Lance	"""The Senate has not passed a budget in more than three years, not a good budget, not a bad budget, no budget."""	true
4356	Christopher Blazejewski	"""In 32 other states and Washington D.C., they [voters] can avoid the wait by voting before Election Day."""	true
4357	Donald Trump	"Says Jeb Bush and Marco Rubio ""had it set so that the winner takes everything, because they wanted to make sure that I didn't get anything"" in the Florida primary."	false
4358	Delaine Eastin	"Since 1965, California has built ""six (college) campuses but 23 prisons."""	false
4359	Monica Wehby	"The 2011 Rebuild America Jobs Act ""would have cost the average American family $1,000 a year while making no significant impact to fix our infrastructure and roads."""	false
4360	Lamar Alexander	"""Three of our cities are among the top five worst cities in the U.S. for asthma."""	true
4361	Tim Kaine	"When Obama took office ""the economy of the United States was actually shrinking for the first time in about 70 years."""	barely-true
4362	Beth Wessel-Kroeschell	"""86% of Americans and 82% of gun owners support requiring all gun buyers to pass a background check."""	true
4363	Instagram posts	Photo shows a Chinese restaurant sign that says “F--- DeSantis.”	pants-fire
4364	Rand Paul	"""(Hillary Clinton's State Department) actually admonished one of her ambassadors because he wasn’t using the proper server."""	true
4365	House Republican Conference	"Research shows the employer mandate in the House health reform bill would ""place millions 'at substantial risk of unemployment' — with minority workers losing their jobs at twice the rate of their white counterparts."""	half-true
4366	Charlie Crist	"""Actually, Reagan was a Democrat before he was a Republican."""	true
4367	Mary Nolan	Says more than 8,000 people have supported her campaign as volunteers, donors and advisors and endorsers.	half-true
4368	Ron Wyden	Says Oregon canned blueberries will be cheaper in South Korea thanks to a trade agreement.	mostly-true
4369	Barack Obama	"""These steps (a middle-class tax cut, national health care plan, foreclosure prevention fund, Social Security fix and more) are all paid for."""	barely-true
4370	Marco Rubio	"""For the first time in 35 years, we have more businesses closing than starting."""	half-true
4371	Americans United for Change	"The Republicans' alternative health care plan ""will still let insurers raise premiums four times faster than wages."""	false
4372	Barack Obama	"""Gov. Romney's plan would cut taxes for the folks at the very top."""	mostly-true
4373	John Loughlin	"Transporting drugs ""is the price of admission"" for people crossing the border illegally."	pants-fire
4374	Glenn Grothman	"""A single parent with a couple kids can easily get $35,000 a year"" in public assistance in Wisconsin."	barely-true
4375	Chain email	Justice Antonin Scalia agreed for the Supreme Court to hear a case about whether Barack Obama is eligible to be President.	pants-fire
4376	Steny Hoyer	"""Some 500 detainees were released from Guantanamo during the Bush administration."""	mostly-true
4377	Steve LaTourette	"""For each $1 billion in infrastructure investment, 42,000 jobs are created."""	half-true
4378	Dick Greco	"""Financed the largest parking expansion program without a rate increase."""	barely-true
4379	Bloggers	"Says Elizabeth Warren ""was paid $400,000 to teach one class."""	half-true
4380	Mary Nolan	Says she helped lead the launch of curbside recycling.	half-true
4381	Lawrence O'Donnell	"""The IRS has been specifically forbidden ...  from ever actually pursuing either civil or criminal remedies"" for people who don’t purchase health insurance."	mostly-true
4382	Bloggers	"""Grandparents must pickup up all their grandchildren every weekend no matter what or they will be fined $5,000."""	pants-fire
4383	Robert Brown	"""Animal abuse is often an indicative trait of future acts of violence against humans."""	true
4384	Mitt Romney	"""The mayor said … 'if you happen to be in this country in an undocumented status . . . then we welcome you here. We want you here. We'll protect you here.' """	true
4385	Mike Huckabee	"""As governor of Arkansas, I cut taxes and fees almost 100 times, saving the taxpayers almost $380-million. I left a surplus of nearly $850-million."""	half-true
4386	Let Freedom Ring	Says Obama has flip-flopped on public campaign financing.	true
4387	New Jersey Tea Party	"""Since Obama took office, a net of 540,000 additional black Americans – Obama’s strongest supporters – have lost their jobs."""	half-true
4388	David Dewhurst	Says that from 1992 through 2010, every statewide candidate drawing over 43 percent of the vote in a Republican Texas primary won the resulting runoff.	true
4389	Chris Jacobs	“While serving as Town Supervisor, Nate McMurray voted to raise taxes on homeowners.”	true
4390	Kirsten Gillibrand	"""I actually in 2005 ran on Medicare for all."""	true
4391	Gary Schaer	"""Hair stylists are required to undergo more government scrutiny than foreclosure consultants."""	true
4392	Donald Trump	"""My policy is similar to what President Obama did in 2011 when he banned visas for refugees from Iraq for six months."""	barely-true
4393	Kris Jordan	"""State agencies have not identified one single instance where groundwater has been damaged due to hydraulic fracking."""	mostly-true
4394	Paul Ryan	"""One out of every four students fails to earn a high school diploma. In our major cities across America, half of our kids don’t graduate."""	mostly-true
4395	Bill Ratliff	"""We have one charter school that for seven years has been rated unacceptable."""	barely-true
4396	Donald Trump	Obamacare has led to fewer health insurance options for millions of Americans.	barely-true
4397	Eddie Lucio, Jr.	Nearly 40 percent of his McAllen-area constituents suffer from obesity.	true
4398	Rick Scott	"""A recent study revealed that, across the nation, taxes would have to be increased by an average of $1,300 a year just to support the currently unsustainable public employee pension systems. In Florida, that dollar figure translates to $813 a year."""	half-true
4399	Donald Trump	"In a government shutdown, ""what they are really doing is shutting down our military."""	barely-true
4400	Barack Obama	"Thanks to the Trans-Pacific Partnership, ""Vietnam is drafting and presenting unprecedented labor reforms, changing their Constitution to recognize worker organizations in Vietnam for the first time."""	half-true
4401	Chain email	"""Over 200 years ago, the United States had declared war on Islam, and Thomas Jefferson led the charge!"""	false
4402	Oregon Lottery	"Says 97 cents of every dollar played ""represents over $500 million dollars that is returned to Oregonians every year to help support job creation, schools, state parks and watersheds."""	pants-fire
4403	Martha Raddatz	"The Obama administration originally ""wanted 10,000 troops to remain in Iraq -- not combat troops, but military advisers, special operations forces, to watch the counterterrorism effort."""	mostly-true
4404	Jimmy Anderson	"Republicans on the budget-writing committee ""did nothing"" to address oversight of
large-scale farms, ""as literal manure is coming out of people’s faucets."	half-true
4405	Viral image	Says a video shows drone footage of the killing of Qassem Soleimani.	pants-fire
4406	Michele Bachmann	"""We know that President Obama stole over $500 billion out of Medicare to switch it over to Obamacare."""	barely-true
4407	James Inhofe	"Energy nominee Steven Chu has called coal ""his worst nightmare."""	mostly-true
4408	Viral image	A photo shows two Italian nurses in a hospital a few days before they got COVID-19 and died.	false
4409	Barack Obama	Said his mother had to fight with health insurance companies for treatment because of a pre-existing condition.	barely-true
4410	Eric Burlison	"Says SJR 11 ""seeks to fix what is very quickly becoming a problem in Missouri — initiative petitions and referendums are being filed at record highs."""	mostly-true
4411	Mike DeWine	"""Richard Cordray wants to raise your taxes by reversing President Trump's tax reform."""	barely-true
4412	Viral image	"A photo shows ""brave women of the Red Cross"" arriving in Normandy on D-Day to help injured troops."	half-true
4413	Steve Bullock	"""You look at today, only half the 30-year-olds are doing better than their parents were at age 30. When I was being raised, it was 90%."""	mostly-true
4414	Donald Trump	"""Democrats let him (cop killer Luis Bracamontes) into our country,"" and ""Democrats let him stay."""	pants-fire
4415	Bill Brady	"Says that after ""the last income tax increase in the state of Illinois, we saw the largest exodus of middle-income families."""	false
4416	National Republican Senatorial Committee	"""And while (Ted) Strickland proposed cuts for services for children, he wasted over $250,000 remodeling his bathrooms at the governor’s mansion."""	pants-fire
4417	Josh Pade	"""Wisconsin's still one of the highest-taxed states in the country."""	barely-true
4418	Scott Rigell	"Says Glenn Nye voted ""in lock step with Nancy Pelosi"" 83 percent of the time."	barely-true
4419	Bloggers	"""Obamacare Medical Codes Confirm: Execution by Beheading To Be Implemented in America."""	pants-fire
4420	Facebook posts	A photo shows a recent White House event was actually filmed at Tyler Perry Studios in Atlanta.	pants-fire
4421	Facebook posts	COVID-19 vaccines are creating the coronavirus variants.	false
4422	Bernie Sanders	"""Bernie Sanders passed more roll call amendments in a Republican Congress than any other member."""	true
4423	NAACP	"In the U.S., ""African-Americans continue to be arrested at nearly three and one half times the rate of whites"" on marijuana charges."	true
4424	Progress Texas	Says two-thirds of groups targeted for IRS scrutiny were not conservative.	pants-fire
4425	Mitt Romney	"""President Obama is shrinking our military."""	half-true
4426	Graeme Zielinski	"Says the Wisconsin Republican Party tweeted ""Happy International Women's Day! You ladies should get paid less and not be able to make health care decisions."""	pants-fire
4427	Joe Biden	"""The health care numbers are going up."""	barely-true
4428	Nathan Deal	"The impact of the 2010 federal health care legislation will be ""huge"" on Georgia."	mostly-true
4429	Viral image	"Says a photo of a park covered in trash was left behind by ""environmentalists"" after an Earth Day celebration in California."	false
4430	Ted Cruz	"""I have consistently opposed shutdowns."""	pants-fire
4431	Ed Garvey	"Claims Wisconsin Senate Majority Leader Scott Fitzgerald said: ""It is necessary to eliminate unions in order to balance future budgets."""	false
4432	Bloggers	"""FBI issues Warrant For Obama’s Arrest After Confirming Illegal Trump Tower Wiretap."""	pants-fire
4433	Bernie Sanders	"Says Hillary Clinton voted ""for virtually every trade agreement that has cost the workers of this country millions of jobs."""	half-true
4434	Dan Branch	"""Worked with Ronald Reagan and helped re-elect him."""	half-true
4435	Mark Pocan	"""In the last decade, 73% of new jobs (in Wisconsin) have come from Madison."""	false
4436	Richard Ojeda	"""We have lost more lives in the last two years"" due to opioids ""than all of the lives lost during the Vietnam War."""	true
4437	Marco Rubio	"""Under N.Y. State ‘Assault Weapon’ ban 1 simple cosmetic change pictured here is difference between legal & banned"""	true
4438	Barack Obama	"""Unemployment insurance kept more than 620,000 children out of poverty in 2012."""	half-true
4439	Snooki	"""Obama put a 10 percent tax on tanning."""	true
4440	Facebook posts	"Says Hillary Clinton’s top 10 donors are mainly ""banks, corporations and media,"" while Bernie Sanders’ top 10 donors are labor unions."	mostly-true
4441	Bloggers	"""In February alone there were enough illegal immigrants who crossed the border to fill this (Kansas City Chiefs’ Arrowhead) stadium."""	mostly-true
4442	Barack Obama	"Says that as Massachusetts governor, Mitt Romney ""condemned coal-fired plants, saying they kill people."""	mostly-true
4443	Chuck Grassley	"""If the United States moves ahead by itself (on cap-and-trade)... after 30 or 40 years, we're going to reduce CO2 by less than 1 percent."""	half-true
4444	Rahm Emanuel	"""We've added, in the last eight years, $4 trillion of debt to the nation's obligations."""	mostly-true
4445	U.S. Chamber of Commerce	"Says the ""public option"" considered in the health care law backed by U.S. Senate candidate Tammy Baldwin was ""wildly unpopular."""	false
4446	Viral image	"""39% of All California Students are illegals."""	false
4447	Gretchen Whitmer	“During the flu pandemic of 1918, some cities lifted social distancing measures too fast, too soon, and created a second wave of pandemic.”	mostly-true
4448	Viral image	"Says Alexandria Ocasio-Cortez said, ""We must block Trump from stopping the return of the heroic Alabama mother from ISIS. In many ways she is more of a hero then our veterans. Welcome home sister!"""	pants-fire
4449	Facebook posts	Says “Senator Joe Manchin hit (an) all time low saying seniors and the disabled did not need the relief package $1000 on Fox News.”	half-true
4450	Wisconsin Republican Legislative leaders	Wisconsin is “clearly seeing a decline in COVID infections”	barely-true
4451	Newt Gingrich	"Hillary Clinton said, ""with a straight face, that the terrorist attacks this weekend were caused by Donald J. Trump"""	half-true
4452	Pat McCrory	"Despite the passage of HB2, ""towns, cities and counties in North Carolina are still allowed to set stricter non-discrimination policies for their own employees if they choose."""	half-true
4453	Alma Adams	“Almost 40% of borrowers with student loan debt didn't finish their degree.”	mostly-true
4454	Steve McCraw	Since 2014, there has been a 25% reduction in crime in communities at the Texas-Mexico border.	true
4455	Glenn Grothman	"""Planned Parenthood is the biggest abortion provider in the country."""	true
4456	Sherrod Brown	Wall Street megabanks that received bailouts in 2009 now get taxpayer-funded advantages not available to community banks in Ohio.	half-true
4457	Traditional Values Coalition	"The Employment Non-Discrimination Act ""discriminates against Christian daycare, Christian parents, Christian business owners, and the rights of religious freedom."""	false
4458	Tammy Baldwin	"Democrats failed to flip the Wisconsin state Senate because recall elections were in the ""deepest red districts in the state."""	barely-true
4459	Jason Carter	Women are paid 77 cents for every $1 men get for the same work.	barely-true
4460	Nancy Pelosi	"Says 70 percent of benefits in Donald Trump’s proposal for child care ""go to the people making over $100,000 a year."""	true
4461	Ben Bius	"Says state Sen. Steve Ogden was the ""driving force behind business income tax hurting small business, crafted the Robin Hood school finance scheme making property taxes skyrocket, wrote a budget that will result in a $14 billion deficit and voted against"" gun freedoms."	false
4462	Josh Mandel	"Ilana Shafran Mandel’s stake in Forest City Enterprises ""constitutes significantly less than 1 percent"" of the company’s shares and any implication of a conflict of interest ""is legally incorrect."""	true
4463	National Organization for Marriage	"""Massachusetts public schools teach kids as young as kindergartners about gay marriage."""	false
4464	Rick Perry	"""Texas has installed more wind power than any other state, and all but four countries."""	true
4465	Viral image	“Pick up a product. Look at the barcode. If the first 3 numbers are 690 or 691 or 692, the product was made in China.”	barely-true
4466	Congressional Leadership Fund	Says Sri Kulkarni attended “notorious desert drug parties” and was arrested for cocaine.	half-true
4467	Scott Walker	"Says he ""turned down a Medicaid expansion under Obamacare,"" but because of actions he took, for the first time in Wisconsin's history ""everyone living in poverty is covered under Medicaid."""	mostly-true
4468	Kirsten Gillibrand	"""A black woman in New York City is 12 times more likely to die in childbirth than a white woman."""	mostly-true
4469	Joe Lieberman	"In the U.S. Senate, Barack Obama ""has not reached across party lines to get anything significant done."""	false
4470	Facebook posts	Flights across America are backed up because airline crews are “refusing the mandated jab” and walking off boarded flights.	false
4471	Amy Klobuchar	"""Millions of Americans need mental health care. Yet in Iowa, there are just 64 public mental health care beds. And you see similar numbers across the country."""	mostly-true
4472	Independent Voice for Illinois PAC	"""...Secret documents reveal that Iran could obtain a nuclear weapon far sooner than we were told. And Tammy Duckworth voted ‘yes’ (on the Iran nuclear deal)."""	barely-true
4473	Martavius Jones	"""From a standpoint of the county government, neither school system has received an increase in funding over the past six years."""	true
4474	Marco Rubio	"""Forty cents of every dollar being spent by the federal government is being borrowed from my children."""	true
4475	Garnet Coleman	Says close to 90 percent of the population growth in Texas over the last decade was non-Anglo.	true
4476	Mitch McConnell	"""This election actually was not unusually close."""	true
4477	Mitch Daniels	"Says that in 41 states, government workers ""are better paid than the taxpayers who support them."""	false
4478	Ron Dermer	"""In a few months, this deal would give Iran $150 billion"" for its $300 billion to $400 billion economy, which is ""like $8 trillion flowing into the United States treasury."""	barely-true
4479	Wendy Davis	"Greg Abbott ""heads up a party whose platform calls for the repeal of the Voting Rights Act."""	mostly-true
4480	Kelly E. Hastings	"Said, ""The Seven Years’ War led to near bankruptcy for many countries; Britain’s need to raise taxes fueled the American desire for independence."""	mostly-true
4481	National Republican Senatorial Committee	"Says Russ Feingold ""wanted to get money out of politics. Now he's profiting from that same dark money."""	half-true
4482	David Crowley	"""Child care costs account for 24% of a WI family’s budget."""	mostly-true
4483	Pat Boone	"""This (Independent Payment Advisory Board) board can ration care and deny certain Medicare treatments so Washington can fund more wasteful spending."""	pants-fire
4484	Chain email	Hillary Clinton and Barack Obama want to raise taxes on dividends, a move that would crash the stock market.	barely-true
4485	John McCain	"Barack Obama said ""people making less than $250,000 would benefit from his plan"" then said ""if you're a family making less than $200,000, you'll benefit."""	mostly-true
4486	Corrine Brown	"The high-speed rail project would create ""60,000-plus jobs for Floridians."""	false
4487	Viral image	"Quotes Ronald Reagan as saying, ""Under no pretext should arms and ammunition be surrendered; any attempts to disarm the people must be stopped, by force if necessary."""	false
4488	Anne Goodman	Says food stamp growth, while high, lagged the rise in unemployment.	true
4489	Andrew White	"""Fifty percent of our new"" Texas ""teachers don’t have college degrees."""	false
4490	Scott Walker	"""According to the most recent report, Wisconsin’s high school graduation rates are also up again -- to third best in the country."""	mostly-true
4491	Sarah Palin	"""I was banned from talking about"" Bill Ayers during the 2008 presidential campaign."	pants-fire
4492	Pat McCrory	"The North Carolina bathroom bill ""was really never repealed."""	barely-true
4493	Instagram posts	A video shows “Dems caught not wearing masks” at the White House.	half-true
4494	Jimmie Massie	"In Virginia’s Medicaid program, ""approximately 30 percent, or $2.7 billion a year, is lost to waste, fraud and inefficiencies."""	barely-true
4495	Facebook posts	"Says Aaron Hernandez' daughter is, by Massachusetts law, entitled to the remainder of his $15 million NFL contract because he committed suicide during his appeal, making his conviction ""null and void."""	false
4496	Donald Trump	"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible."""	false
4497	Jim Moran	Says budget savings by reducing pay and benefits for federal employees total $103 billion over 10 years -- more than $50,000 per worker.	true
4498	Bloggers	Says MSNBC called the Florida governor’s race for Andrew Gillum before Election Day.	false
4499	Viral image	Bernie Sanders opposes the death penalty, and Hillary Clinton supports it.	mostly-true
4500	Steven Landes	"Medicaid expansion ""could cost the Commonwealth of Virginia over $1 billion a year..."""	false
4501	Jon Huntsman	"""In this country … we have more natural gas than Saudi Arabia has oil."""	barely-true
4502	Breitbart	“Amy Klobuchar vows to resettle 500 percent more refugees, none in her neighborhood.”	half-true
4503	Facebook posts	Says Taylor Swift wants to remove the Statue of Liberty	pants-fire
4504	Donald Trump	Says 99% of COVID-19 cases “are totally harmless.”	false
4505	Facebook posts	“The Social Security check is now (or soon will be) referred to as a ‘Federal Benefit Payment.’”	false
4506	Richard Durbin	"""The reality is, we are holding some of the most dangerous terrorists in the world right now in our federal prisons, including the mastermind of the 1993 World Trade Center bombing, the 'shoe bomber,' the 'Unabomber,' and many others."""	true
4507	Donald Trump	"""Since 2013 alone, the Obama administration has allowed 300,000 criminal aliens to return back into United States communities. These are individuals encountered or identified by (Immigration and Customs Enforcement), but who were not detained or processed for deportation because it wouldn't have been politically correct."""	half-true
4508	Facebook posts	Says the governors of Michigan, New York and Nevada “have issued orders banning the prescription of hydroxychloroquine to patients with COVID-19.”	false
4509	Helen Glover	"Phoenix is the kidnapping capital ""of the Western Hemisphere."""	false
4510	John McCain	Spending increases, not tax cuts, are the major cause of the federal budget deficit.	mostly-true
4511	Kendrick Meek	"Marco Rubio says ""Solo Ingles"" (English only)."	false
4512	Bernie Sanders	"""The African-American community lost half of their wealth as a result of the Wall Street collapse."""	true
4513	Dan Sullivan	"Says Alaska Sen. Mark Begich supported President Barack Obama’s economic policies ""97 percent of the time."""	barely-true
4514	Charlie Crist	"In 2012, the state ""put together a list of over 100,000 people that they thought were ineligible to vote. Came out there were less than 10."""	barely-true
4515	ChangeAustin.org	"Sarah Eckhardt ""refused to take her own pay increases repeatedly."""	half-true
4516	Facebook posts	"The COVID-19 vaccine is dangerous because 23 people died in Norway ""within hours” of receiving it."	barely-true
4517	Fred Thompson	"""Five percent of Americans pay over half the income taxes in this country. Forty percent of Americans pay no income taxes at all."""	true
4518	Michelle Obama	"""Only 2 percent of public high schools in the country offer PE classes."""	false
4519	John Cornyn	“China is to blame because the culture where people eat bats and snakes and dogs and things like that, these viruses are transmitted from the animal to the people and that's why China has been the source of a lot of these viruses like SARS, like MERS, the Swine Flu and now the coronavirus.”	false
4520	Donald Trump	"Says Hillary Clinton is ""wrong"" to say he mocked a disabled reporter."	false
4521	AmericanJournalReview.com	"""Red Alert: Major Signs of Voter Fraud Uncovered In Ohio."""	barely-true
4522	American Bird Conservancy	"A proposed bill in the Florida Legislature ""would authorize the public hoarding of cats by feral cat activists."""	half-true
4523	Jack Falanagan	"Says New Hampshire’s second congressional district includes two counties where ""almost 5 percent if not more"" of residents are enrolled in the state’s expanded Medicaid program."	true
4524	Morgan Griffith	"""Originally, Democrats promised that if you liked your health care plan, you could keep it. One year later we know that you need a waiver to keep your plan."""	barely-true
4525	Hillsborough Area Regional Transit	The addition of a 1 percent sales tax would cost a typical household in Hillsborough County approximately $12 a month.	mostly-true
4526	Crime Victims United of Oregon	Says Oregon ranks 30th in the nation with regard to its incarceration rate.	true
4527	Rudy Giuliani	"""The 'New York Times' writes this long story"" about Donald Trump’s tax returns but ""didn't point out there was no wrongdoing"" until paragraph 18."	false
4528	Gwen Graham	"Florida’s coastal and stormwater infrastructure are ""two of the most critical areas during a storm, and received D-plus and D ratings, respectively, by the American Society of Civil Engineers in 2016."""	true
4529	Scott Walker	"Since 1978, college ""tuition nationwide has gone up something like four times the rate of inflation."""	true
4530	Facebook posts	“BREAKING NEWS: All Charges Dropped for Kyle Rittenhouse.”	false
4531	Facebook posts	“Drivers with no DUIs are getting up to $610 back in savings.”	false
4532	Viral image	“A known antifa member” dressed as a Donald Trump supporter “and caused the Capitol riot” on Jan. 6.	barely-true
4533	Facebook posts	Says a photo of Pete Buttigieg in a military uniform was staged.	pants-fire
4534	Fred Thompson	"Sarah Palin ""has more experience than Barack Obama."""	false
4535	Shelley Moore Capito	"""Our economy is growing at its fastest pace in nearly four years. Unemployment is at an all-time low."""	mostly-true
4536	Michelle Nunn	In Georgia, Perdue’s company closed plants and moved jobs to China.	true
4537	Better Future Michigan	"Says Gary Peters ""supports ‘Medicare for All,’ siding with radical liberals."""	false
4538	Lenny Curry	"Says Barack Obama ""promised he would cut the deficit in half"" but didn’t."	true
4539	Carly Fiorina	"Says President Barack Obama is ""not paying women equally by his own measures in his own White House."""	barely-true
4540	Brit Hume	"The media ""widely overlooked"" comments made by former President Bill Clinton that Hillary Clinton had a terrible concussion that took six months to recover from."	false
4541	Bloggers	Say Bill Gates is linked to HPV vaccine related deaths in India.	pants-fire
4542	Donald Trump	"""An analysis showed that Bernie Sanders would have won the Democratic nomination if it were not for the Super Delegates."""	false
4543	Newsweek	"""White men have committed more mass shootings than any other group."""	mostly-true
4544	Phil Gingrey	"Since President Barack Obama took office, ""2 million more Americans are out of work."""	half-true
4545	Tammy Baldwin	"Says that except for Donald Trump, ""every other major party nominee"" for the past 40 years has released their tax returns."	mostly-true
4546	Creative Advocacy Network	"Says an arts tax would provide ""funding for certified arts and music teachers for every elementary school serving Portland residents."""	half-true
4547	National Republican Congressional Committee	"Gas prices have gone up 99 percent since Obama became president, ""the highest gas price increase since Carter."""	barely-true
4548	Facebook posts	Says Coca-Cola CEO James Quincey said, “A few right winged nuts won’t affect our bottom line.”	false
4549	Facebook posts	“Italy has decided not to treat their elderly for this virus.”	barely-true
4550	Joe Barton	"Says you can buy four light bulbs for $1.99 at Walmart, while a single compact fluorescent lamp (CFL) costs ""$10 a pop."""	barely-true
4551	Andrea Stewart-Cousins	"""New York consistently ranks as one of the worst voting turnout states in the nation."""	true
4552	Mitt Romney	"""Under Obama’s plan (for welfare), you wouldn’t have to work and wouldn’t have to train for a job. They just send you your welfare check."""	pants-fire
4553	Jane O’Meara Sanders	"""@BernieSanders receives strong support from the conservative & most rural part of Vermont."""	true
4554	American Bridge 21st Century	"Says Marco Rubio’s ""proposed college affordability overhaul would specifically benefit for-profit colleges."""	barely-true
4555	Viral image	“George Floyd’s ‘murder’ filmed before COVID-19.”	pants-fire
4556	Stacey Campfield	"AIDS was transmitted to humans because ""one guy"" had sex with ""a monkey"" and then started ""having sex with men."""	pants-fire
4557	Carlos Gimenez	"Miami-Dade is ""the first community in the world to break the cycle of local transmission of the Zika virus."""	mostly-true
4558	Greg Abbott	Says crime is on the rise in Austin and a new study showed that it “is the No. 1 city in America in the year-to-year percentage increase in murders, with a percentage increase of more than 64% for the first half of this year.”	half-true
4559	Stacey Newman	"""Part of this omnibus gun bill that year (was) legalizing machine guns in the state of Missouri."""	half-true
4560	Facebook posts	“HOUSE PASSES BILL TO PAY U.N. TO RUN LOCAL POLICE BOARDS IN 46 U.S. CITIES.”	false
4561	Chris Redfern	Says Gov. John Kasich can remove the president of the State Board of Education.	mostly-true
4562	Facebook posts	Says Sen. Kelly Loeffler said on Parler that “Black people shouldn’t be allowed to vote.”	pants-fire
4563	Ted Cruz	"""Ukraine voluntarily gave up its nuclear weapons because the United States of America"" said it would ""ensure (its) territorial integrity from Russia."""	false
4564	Cokie Roberts	"Democrats have ""lost more than 900 state legislators"" since Barack Obama has been president."	true
4565	Sally Kohn	"""Hobby Lobby provided this (birth control) coverage before they decided to drop it to file suit."""	mostly-true
4566	Brad Schimel	"""We need an ID"" to ""buy a beer."""	barely-true
4567	Nathan Deal	"Republican candidate for governor ""Karen Handel has run a 100 percent negative campaign."""	mostly-true
4568	Reince Priebus	"Because of voter fraud, Republican candidates ""need to do a point or two better"" to win statewide elections in Wisconsin."	false
4569	Democratic National Committee	"""Republicans actually doctored emails between administration officials about Benghazi. Then, they released them to the press, trying to pass them off as real."""	barely-true
4570	Ken Legler	"""Cell phone numbers go public this month."""	false
4571	Barack Obama	"The Senate bill ""hands enormous tax cuts to the rich and to the drug and insurance industries, paid for by cutting health care for everybody else."""	mostly-true
4572	Donald Trump	"""Over the last two years, the number of murders in America and America’s major cities has dropped, unlike here (Chicago), by more than 10%."""	pants-fire
4573	Donald Trump	Under Joe Biden’s policy, immigrants in the country illegally “get welfare benefits. United States citizens don't get what they're looking to give illegal immigrants.”	false
4574	Desmond Meade	"""You could lose your rights for life over something as simple as driving with a suspended license"" in Florida."	mostly-true
